timestep	potential_energy
0	-0.1497732132
1	-0.1497732132
2	-0.1497732135
3	-0.1497732141
4	-0.149773215
5	-0.1497732164
6	-0.1497732183
7	-0.149773221
8	-0.1497732245
9	-0.1497732292
10	-0.1497732353
11	-0.149773243
12	-0.149773243
13	-0.149773243
14	-0.149773243
15	-0.149773243
16	-0.149773243
17	-0.149773243
18	-0.149773243
19	-0.149773243
20	-0.149773243
21	-0.149773243
22	-0.149773243
23	-0.149773243
24	-0.149773243
25	-0.149773243
26	-0.149773243
27	-0.149773243
28	-0.149773243
29	-0.149773243
30	-0.149773243
31	-0.149773243
32	-0.149773243
33	-0.149773243
34	-0.149773243
35	-0.149773243
36	-0.149773243
37	-0.149773243
38	-0.149773243
39	-0.149773243
40	-0.149773243
41	-0.149773243
42	-0.149773243
43	-0.149773243
44	-0.149773243
45	-0.149773243
46	-0.149773243
47	-0.149773243
48	-0.149773243
49	-0.149773243
50	-0.149773243
51	-0.149773243
52	-0.149773243
53	-0.149773243
54	-0.149773243
55	-0.149773243
56	-0.149773243
57	-0.149773243
58	-0.149773243
59	-0.149773243
60	-0.149773243
61	-0.149773243
62	-0.149773243
63	-0.149773243
64	-0.149773243
65	-0.149773243
66	-0.149773243
67	-0.149773243
68	-0.149773243
69	-0.149773243
70	-0.149773243
71	-0.149773243
72	-0.149773243
73	-0.149773243
74	-0.149773243
75	-0.149773243
76	-0.149773243
77	-0.149773243
78	-0.149773243
79	-0.149773243
80	-0.149773243
81	-0.149773243
82	-0.149773243
83	-0.149773243
84	-0.149773243
85	-0.149773243
86	-0.149773243
87	-0.149773243
88	-0.149773243
89	-0.149773243
90	-0.149773243
91	-0.149773243
92	-0.149773243
93	-0.149773243
94	-0.149773243
95	-0.149773243
96	-0.149773243
97	-0.149773243
98	-0.149773243
99	-0.149773243
100	-0.149773243
101	-0.149773243
102	-0.149773243
103	-0.149773243
104	-0.149773243
105	-0.149773243
106	-0.149773243
107	-0.149773243
108	-0.149773243
109	-0.149773243
110	-0.149773243
111	-0.149773243
112	-0.149773243
113	-0.149773243
114	-0.149773243
115	-0.149773243
116	-0.149773243
117	-0.149773243
118	-0.149773243
119	-0.149773243
120	-0.149773243
121	-0.149773243
122	-0.149773243
123	-0.149773243
124	-0.149773243
125	-0.149773243
126	-0.149773243
127	-0.149773243
128	-0.149773243
129	-0.149773243
130	-0.149773243
131	-0.149773243
132	-0.149773243
133	-0.149773243
134	-0.149773243
135	-0.149773243
136	-0.149773243
137	-0.149773243
138	-0.149773243
139	-0.149773243
140	-0.149773243
141	-0.149773243
142	-0.149773243
143	-0.149773243
144	-0.149773243
145	-0.149773243
146	-0.149773243
147	-0.149773243
148	-0.149773243
149	-0.149773243
150	-0.149773243
151	-0.149773243
152	-0.149773243
153	-0.149773243
154	-0.149773243
155	-0.149773243
156	-0.149773243
157	-0.149773243
158	-0.149773243
159	-0.149773243
160	-0.149773243
161	-0.149773243
162	-0.149773243
163	-0.149773243
164	-0.149773243
165	-0.149773243
166	-0.149773243
167	-0.149773243
168	-0.149773243
169	-0.149773243
170	-0.149773243
171	-0.149773243
172	-0.149773243
173	-0.149773243
174	-0.149773243
175	-0.149773243
176	-0.149773243
177	-0.149773243
178	-0.149773243
179	-0.149773243
180	-0.149773243
181	-0.149773243
182	-0.149773243
183	-0.149773243
184	-0.149773243
185	-0.149773243
186	-0.149773243
187	-0.149773243
188	-0.149773243
189	-0.149773243
190	-0.149773243
191	-0.149773243
192	-0.149773243
193	-0.149773243
194	-0.149773243
195	-0.149773243
196	-0.149773243
197	-0.149773243
198	-0.149773243
199	-0.149773243
200	-0.149773243
201	-0.149773243
202	-0.149773243
203	-0.149773243
204	-0.149773243
205	-0.149773243
206	-0.149773243
207	-0.149773243
208	-0.149773243
209	-0.149773243
210	-0.149773243
211	-0.149773243
212	-0.149773243
213	-0.149773243
214	-0.149773243
215	-0.149773243
216	-0.149773243
217	-0.149773243
218	-0.149773243
219	-0.149773243
220	-0.149773243
221	-0.149773243
222	-0.149773243
223	-0.149773243
224	-0.149773243
225	-0.149773243
226	-0.149773243
227	-0.149773243
228	-0.149773243
229	-0.149773243
230	-0.149773243
231	-0.149773243
232	-0.149773243
233	-0.149773243
234	-0.149773243
235	-0.149773243
236	-0.149773243
237	-0.149773243
238	-0.149773243
239	-0.149773243
240	-0.149773243
241	-0.149773243
242	-0.149773243
243	-0.149773243
244	-0.149773243
245	-0.149773243
246	-0.149773243
247	-0.149773243
248	-0.149773243
249	-0.149773243
250	-0.149773243
251	-0.149773243
252	-0.149773243
253	-0.149773243
254	-0.149773243
255	-0.149773243
256	-0.149773243
257	-0.149773243
258	-0.149773243
259	-0.149773243
260	-0.149773243
261	-0.149773243
262	-0.149773243
263	-0.149773243
264	-0.149773243
265	-0.149773243
266	-0.149773243
267	-0.149773243
268	-0.149773243
269	-0.149773243
270	-0.149773243
271	-0.149773243
272	-0.149773243
273	-0.149773243
274	-0.149773243
275	-0.149773243
276	-0.149773243
277	-0.149773243
278	-0.149773243
279	-0.149773243
280	-0.149773243
281	-0.149773243
282	-0.149773243
283	-0.149773243
284	-0.149773243
285	-0.149773243
286	-0.149773243
287	-0.149773243
288	-0.149773243
289	-0.149773243
290	-0.149773243
291	-0.149773243
292	-0.149773243
293	-0.149773243
294	-0.149773243
295	-0.149773243
296	-0.149773243
297	-0.149773243
298	-0.149773243
299	-0.149773243
300	-0.149773243
301	-0.149773243
302	-0.149773243
303	-0.149773243
304	-0.149773243
305	-0.149773243
306	-0.149773243
307	-0.149773243
308	-0.149773243
309	-0.149773243
310	-0.149773243
311	-0.149773243
312	-0.149773243
313	-0.149773243
314	-0.149773243
315	-0.149773243
316	-0.149773243
317	-0.149773243
318	-0.149773243
319	-0.149773243
320	-0.149773243
321	-0.149773243
322	-0.149773243
323	-0.149773243
324	-0.149773243
325	-0.149773243
326	-0.149773243
327	-0.149773243
328	-0.149773243
329	-0.149773243
330	-0.149773243
331	-0.149773243
332	-0.149773243
333	-0.149773243
334	-0.149773243
335	-0.149773243
336	-0.149773243
337	-0.149773243
338	-0.149773243
339	-0.149773243
340	-0.149773243
341	-0.149773243
342	-0.149773243
343	-0.149773243
344	-0.149773243
345	-0.149773243
346	-0.149773243
347	-0.149773243
348	-0.149773243
349	-0.149773243
350	-0.149773243
351	-0.149773243
352	-0.149773243
353	-0.149773243
354	-0.149773243
355	-0.149773243
356	-0.149773243
357	-0.149773243
358	-0.149773243
359	-0.149773243
360	-0.149773243
361	-0.149773243
362	-0.149773243
363	-0.149773243
364	-0.149773243
365	-0.149773243
366	-0.149773243
367	-0.149773243
368	-0.149773243
369	-0.149773243
370	-0.149773243
371	-0.149773243
372	-0.149773243
373	-0.149773243
374	-0.149773243
375	-0.149773243
376	-0.149773243
377	-0.149773243
378	-0.149773243
379	-0.149773243
380	-0.149773243
381	-0.149773243
382	-0.149773243
383	-0.149773243
384	-0.149773243
385	-0.149773243
386	-0.149773243
387	-0.149773243
388	-0.149773243
389	-0.149773243
390	-0.149773243
391	-0.149773243
392	-0.149773243
393	-0.149773243
394	-0.149773243
395	-0.149773243
396	-0.149773243
397	-0.149773243
398	-0.149773243
399	-0.149773243
400	-0.149773243
401	-0.149773243
402	-0.149773243
403	-0.149773243
404	-0.149773243
405	-0.149773243
406	-0.149773243
407	-0.149773243
408	-0.149773243
409	-0.149773243
410	-0.149773243
411	-0.149773243
412	-0.149773243
413	-0.149773243
414	-0.149773243
415	-0.149773243
416	-0.149773243
417	-0.149773243
418	-0.149773243
419	-0.149773243
420	-0.149773243
421	-0.149773243
422	-0.149773243
423	-0.149773243
424	-0.149773243
425	-0.149773243
426	-0.149773243
427	-0.149773243
428	-0.149773243
429	-0.149773243
430	-0.149773243
431	-0.149773243
432	-0.149773243
433	-0.149773243
434	-0.149773243
435	-0.149773243
436	-0.149773243
437	-0.149773243
438	-0.149773243
439	-0.149773243
440	-0.149773243
441	-0.149773243
442	-0.149773243
443	-0.149773243
444	-0.149773243
445	-0.149773243
446	-0.149773243
447	-0.149773243
448	-0.149773243
449	-0.149773243
450	-0.149773243
451	-0.149773243
452	-0.149773243
453	-0.149773243
454	-0.149773243
455	-0.149773243
456	-0.149773243
457	-0.149773243
458	-0.149773243
459	-0.149773243
460	-0.149773243
461	-0.149773243
462	-0.149773243
463	-0.149773243
464	-0.149773243
465	-0.149773243
466	-0.149773243
467	-0.149773243
468	-0.149773243
469	-0.149773243
470	-0.149773243
471	-0.149773243
472	-0.149773243
473	-0.149773243
474	-0.149773243
475	-0.149773243
476	-0.149773243
477	-0.149773243
478	-0.149773243
479	-0.149773243
480	-0.149773243
481	-0.149773243
482	-0.149773243
483	-0.149773243
484	-0.149773243
485	-0.149773243
486	-0.149773243
487	-0.149773243
488	-0.149773243
489	-0.149773243
490	-0.149773243
491	-0.149773243
492	-0.149773243
493	-0.149773243
494	-0.149773243
495	-0.149773243
496	-0.149773243
497	-0.149773243
498	-0.149773243
499	-0.149773243
500	-0.149773243
501	-0.149773243
502	-0.149773243
503	-0.149773243
504	-0.149773243
505	-0.149773243
506	-0.149773243
507	-0.149773243
508	-0.149773243
509	-0.149773243
510	-0.149773243
511	-0.149773243
512	-0.149773243
513	-0.149773243
514	-0.149773243
515	-0.149773243
516	-0.149773243
517	-0.149773243
518	-0.149773243
519	-0.149773243
520	-0.149773243
521	-0.149773243
522	-0.149773243
523	-0.149773243
524	-0.149773243
525	-0.149773243
526	-0.149773243
527	-0.149773243
528	-0.149773243
529	-0.149773243
530	-0.149773243
531	-0.149773243
532	-0.149773243
533	-0.149773243
534	-0.149773243
535	-0.149773243
536	-0.149773243
537	-0.149773243
538	-0.149773243
539	-0.149773243
540	-0.149773243
541	-0.149773243
542	-0.149773243
543	-0.149773243
544	-0.149773243
545	-0.149773243
546	-0.149773243
547	-0.149773243
548	-0.149773243
549	-0.149773243
